interp,metric,value
linear,maxPitchErrorCents_C1_C6,0.0107334
linear,maxPitchErrorCents_C7_C8,0.0548828
linear,gainDb_frac0.5_at_0.25fs,-3.0103
linear,gainDb_frac0.5_at_0.45fs,-16.1134
linear,hfDecayRatio_frac0.5_vs_0,0.091194
linear,sweepSNRdB_3kHz,37.0587
linear,sweepMaxErrorJump,0.00749305
linear,nsPerSample,3.63921
hermite,maxPitchErrorCents_C1_C6,0.0103836
hermite,maxPitchErrorCents_C7_C8,0.136127
hermite,gainDb_frac0.5_at_0.25fs,-1.0721
hermite,gainDb_frac0.5_at_0.45fs,-12.6627
hermite,hfDecayRatio_frac0.5_vs_0,0.504245
hermite,sweepSNRdB_3kHz,62.109
hermite,sweepMaxErrorJump,0.000396999
hermite,nsPerSample,3.60596
lagrange3,maxPitchErrorCents_C1_C6,6.24164e-05
lagrange3,maxPitchErrorCents_C7_C8,0.00736956
lagrange3,gainDb_frac0.5_at_0.25fs,-1.0721
lagrange3,gainDb_frac0.5_at_0.45fs,-12.6627
lagrange3,hfDecayRatio_frac0.5_vs_0,0.504245
lagrange3,sweepSNRdB_3kHz,68.0563
lagrange3,sweepMaxErrorJump,0.000214653
lagrange3,nsPerSample,2.85336
thiran1,maxPitchErrorCents_C1_C6,2.0872e-05
thiran1,maxPitchErrorCents_C7_C8,5.49497e-05
thiran1,gainDb_frac0.5_at_0.25fs,9.7188e-08
thiran1,gainDb_frac0.5_at_0.45fs,3.37967e-08
thiran1,hfDecayRatio_frac0.5_vs_0,0.997825
thiran1,sweepSNRdB_3kHz,49.0213
thiran1,sweepMaxErrorJump,0.0147594
thiran1,nsPerSample,2.65197
