time_s,core,A,B,C,D
0.000333333,0,0,0,0,0
0.0103333,0,0,0,0,0
0.0203333,0,1.81264e-27,7.36887e-07,0.000188871,6.11386e-10
0.0303333,0.000339026,0.000808272,1.4731e-05,6.85684e-05,0.00222191
0.0403333,7.53707e-05,4.88458e-07,2.28545e-06,0.000179467,3.03658e-07
0.0503333,0.000345866,3.01781e-05,0.00095729,0.000169231,7.35753e-05
0.0603333,5.60122e-05,1.62122e-05,1.75721e-05,0.000138735,1.11165e-05
0.0703333,0.000101653,2.60017e-05,4.61868e-05,0.000129035,6.81455e-05
0.0803333,0.000821078,5.38483e-05,0.000882979,2.70155e-06,0.000174301
0.0903333,0.00012562,1.64372e-05,4.85471e-05,0.000175844,3.53776e-05
0.100333,0.000108691,5.50804e-05,2.82338e-05,1.86631e-05,1.51958e-05
0.110333,8.96468e-05,7.83597e-06,1.00114e-05,4.27295e-05,1.25677e-05
0.120333,2.24913e-06,2.89143e-05,1.3738e-06,2.75938e-05,8.5068e-06
0.130333,0.000198818,2.17343e-05,0.000182511,4.87467e-05,0.000303462
0.140333,1.75666e-05,5.95402e-06,3.33869e-05,4.00247e-06,6.11427e-05
0.150333,0.000378405,7.09449e-06,0.000196095,4.79055e-05,7.02014e-05
0.160333,5.48212e-05,1.63106e-05,2.83133e-05,4.97219e-05,2.19984e-05
0.170333,1.90992e-05,1.95399e-05,7.93604e-05,2.33923e-05,1.75361e-05
0.180333,0.000113325,3.20026e-05,8.53628e-05,2.96002e-05,0.00010744
0.190333,2.05008e-05,7.48237e-06,1.74252e-05,4.05418e-05,6.448e-07
0.200333,0.000283824,1.45662e-05,1.27339e-05,1.44149e-06,7.17427e-06
0.210333,8.89771e-05,3.87685e-06,6.40904e-07,1.26327e-05,6.66659e-06
0.220333,1.1658e-06,8.01968e-05,3.03068e-05,3.98522e-05,7.69574e-06
0.230333,0.000238675,6.7827e-06,3.36168e-05,2.58292e-05,3.64898e-05
0.240333,6.30684e-05,2.50747e-05,7.61023e-06,4.88579e-05,7.45832e-07
0.250333,1.32091e-05,9.86725e-06,4.45311e-05,2.26859e-05,0.000119782
0.260333,6.7149e-06,1.15556e-06,9.50765e-06,1.08534e-05,8.40006e-06
0.270333,1.19385e-05,5.73475e-06,1.29837e-05,3.78512e-06,8.56315e-06
0.280333,1.86306e-05,7.72581e-06,1.77593e-05,1.42521e-06,4.04715e-06
0.290333,0.000235534,1.22426e-05,2.74597e-05,5.28551e-06,1.15724e-05
0.300333,4.87147e-06,1.38492e-06,2.33738e-05,2.36633e-05,7.2822e-06
0.310333,4.96156e-06,6.63724e-06,3.1977e-06,1.191e-05,7.35125e-06
0.320333,6.08143e-05,6.16918e-05,5.5219e-06,5.68818e-06,6.57054e-05
0.330333,6.87305e-06,2.4757e-06,1.14669e-05,1.99759e-05,4.20878e-05
0.340333,1.9821e-05,3.03397e-06,9.83093e-06,3.54019e-06,5.64445e-06
0.350333,4.97856e-05,9.93548e-06,2.02129e-05,9.46973e-06,3.30332e-06
0.360333,1.01632e-06,1.12287e-07,2.1556e-06,7.64167e-06,7.34159e-06
0.370333,1.89658e-05,5.41266e-06,1.4829e-05,2.94512e-07,1.0479e-05
0.380333,2.64484e-07,7.65583e-06,5.31095e-06,6.04687e-06,5.75931e-06
0.390333,7.25616e-06,4.0709e-05,1.07958e-05,1.39773e-05,7.50744e-06
0.400333,0.000120092,3.67733e-06,5.03419e-05,3.16968e-06,6.286e-06
0.410333,2.23909e-06,2.92208e-06,2.14252e-07,1.19866e-05,3.18663e-06
0.420333,1.1043e-05,1.31635e-06,2.60749e-06,1.36794e-06,1.27565e-05
0.430333,8.78967e-06,1.05121e-06,1.22464e-07,2.55754e-06,2.88903e-05
0.440333,3.80315e-05,1.29524e-06,1.87674e-06,1.18793e-05,1.50186e-05
0.450333,1.36661e-06,1.33646e-06,5.1736e-05,6.17904e-07,3.00219e-06
0.460333,4.67077e-06,4.31749e-07,1.66096e-06,6.87818e-06,5.69942e-06
0.470333,3.85762e-05,2.40276e-07,3.43873e-06,1.88371e-07,7.47654e-07
0.480333,1.99416e-05,2.97786e-06,2.31163e-05,4.98555e-06,5.85445e-06
0.490333,5.88915e-06,6.23485e-06,1.60783e-05,6.98556e-07,2.53021e-06
0.500333,5.43431e-06,3.67173e-06,3.10334e-06,4.47888e-06,5.73371e-07
0.510333,3.86044e-06,3.02182e-07,9.4897e-07,3.7053e-06,1.76426e-06
0.520333,2.69741e-05,2.87667e-06,1.89298e-06,8.15364e-06,9.97592e-07
0.530333,5.89613e-06,3.13085e-08,7.11064e-06,2.25068e-06,2.59055e-06
0.540333,9.36456e-07,4.23415e-07,6.65254e-06,3.83065e-07,9.57583e-06
0.550333,2.81957e-05,2.78973e-06,8.88876e-06,1.02655e-06,3.02652e-06
0.560333,2.30388e-06,1.3992e-06,1.63639e-06,3.35851e-07,4.7641e-07
0.570333,4.45911e-06,1.34095e-06,2.24321e-07,5.13564e-06,1.87294e-05
0.580333,7.34032e-07,4.82684e-06,1.28832e-06,1.86507e-06,8.57741e-07
0.590333,2.94571e-06,4.29379e-07,6.86553e-06,3.80344e-06,3.44104e-07
0.600333,7.00362e-06,1.42393e-06,1.65559e-06,2.07985e-06,5.656e-08
0.610333,1.92912e-08,5.14194e-07,6.87701e-07,4.07587e-06,7.13225e-08
