exciter,material,peak,rmsAttack,rmsSustain,centroidHz,t60,fundamentalCents,inharmonicity,partials
strike,glass,0.276793,0.0761749,0.0118316,1148.47,3.41731,0.161235,0.293849,"1.00(56) 1.97(36) 2.63(50) 2.96(33) 3.94(31) 4.44(50) 6.57(46) 9.39(40) "
strike,metal,0.260758,0.0734617,0.0238451,1035.07,3.93386,0.26022,0.0577236,"1.00(56) 1.19(45) 1.50(48) 1.99(47) 2.12(49) 2.68(48) 3.13(43) 4.13(44) "
strike,wood,0.363712,0.0747665,7.0715e-06,574.33,0.914119,0.509717,0.137628,"1.00(43) 1.97(27) 2.76(25) 2.96(22) 3.94(17) 4.91(12) 5.39(15) 5.92(5) "
strike,membrane,0.353847,0.075451,3.18818e-06,417.334,0.839376,4.457,0.387997,"1.00(42) 1.60(27) 2.00(10) 2.14(22) 2.30(21) 2.66(16) 3.09(6) 4.20(-1) "
pluck,glass,0.295322,0.0724,0.0107614,3551.13,3.58603,0.474148,0.0147484,"1.00(54) 1.97(49) 2.96(42) 5.91(45) 6.57(44) 6.91(48) 14.84(39) 15.82(38) "
pluck,metal,0.306485,0.0743672,0.0221861,1918.29,4.05405,0.789014,0.0495841,"1.00(57) 1.19(43) 1.50(43) 1.99(50) 2.12(46) 3.13(42) 6.33(47) 7.54(45) "
pluck,wood,0.397951,0.0777374,6.83825e-06,736.336,0.905293,1.28589,0.0149716,"1.00(43) 1.97(35) 2.76(14) 2.96(25) 3.94(16) 4.92(4) 5.92(15) 6.90(14) "
pluck,membrane,0.549374,0.0777349,3.11855e-06,628.166,0.835587,11.5778,0.0805237,"1.00(41) 1.60(22) 2.01(27) 2.14(17) 2.30(13) 2.66(6) 3.11(15) 6.68(5) "
bow,glass,0.118311,0.0302919,0.0794321,692.203,0.118535,-0.0358476,0.0691623,"1.00(62) 2.00(39) 2.63(9) 3.00(29) 4.00(17) 5.00(20) 7.00(13) 8.00(10) "
bow,metal,0.196464,0.0390544,0.0814296,1029.97,1.93899,-0.0349813,3.0965e-06,"1.00(62) 1.50(38) 2.00(39) 3.00(36) 4.00(34) 5.00(27) 6.00(26) 7.00(19) "
bow,wood,0.116179,0.0281391,0.077317,645.54,0.0961486,-0.0170059,1.45794e-06,"1.00(62) 2.00(42) 3.00(32) 4.00(25) 5.00(23) 6.00(11) 7.00(17) 9.00(13) "
bow,membrane,0.112057,0.0246172,0.0782802,480.004,0.0968601,0.314267,2.62878e-06,"1.00(62) 2.00(33) 2.30(7) 3.00(27) 4.00(9) 5.00(17) 6.00(10) 8.00(8) "
air,glass,0.119979,0.00770484,0.0797472,4673.98,2.04639,-0.206519,0.899776,"0.94(6) 1.00(62) 1.06(8) 2.64(26) 2.70(5) 4.44(29) 6.57(21) 9.39(13) "
air,metal,0.101978,0.0057967,0.0680356,5799.63,2.80486,-0.589068,0.34463,"1.00(60) 1.06(9) 1.19(21) 1.50(28) 2.42(8) 2.68(16) 3.70(8) 4.70(15) "
air,wood,0.11691,0.0109345,0.0758943,3733.98,0.446584,-0.111746,0.14183,"0.87(8) 1.00(62) 1.06(13) 2.70(11) 2.76(20) 5.41(20) 5.56(8) 8.97(8) "
air,membrane,0.119852,0.00840095,0.0795411,2960.19,0.484339,5.93505,0.376945,"0.87(6) 0.94(8) 1.00(63) 1.06(13) 1.59(22) 2.15(15) 2.30(21) 2.65(15) "
