sampleRate,voices,exciter,coupling,chaos,realtimeFraction
44100,1,strike,0.35,0.1,0.0136488
44100,4,strike,0.35,0.1,0.0475219
44100,8,strike,0.35,0.1,0.0765344
44100,16,strike,0.35,0.1,0.141319
44100,1,bow,0.35,0.1,0.00976921
44100,4,bow,0.35,0.1,0.0346236
44100,8,bow,0.35,0.1,0.0677946
44100,16,bow,0.35,0.1,0.14778
48000,1,strike,0.35,0.1,0.0105023
48000,4,strike,0.35,0.1,0.0411743
48000,8,strike,0.35,0.1,0.0767889
48000,16,strike,0.35,0.1,0.163711
48000,1,bow,0.35,0.1,0.013709
48000,4,bow,0.35,0.1,0.0474524
48000,8,bow,0.35,0.1,0.0759457
48000,16,bow,0.35,0.1,0.176136
96000,1,strike,0.35,0.1,0.0155881
96000,4,strike,0.35,0.1,0.0654868
96000,8,strike,0.35,0.1,0.100294
96000,16,strike,0.35,0.1,0.216091
96000,1,bow,0.35,0.1,0.0152474
96000,4,bow,0.35,0.1,0.0669171
96000,8,bow,0.35,0.1,0.106076
96000,16,bow,0.35,0.1,0.252445
48000,8,bow,0,0,0.0774606
48000,8,bow,1,0,0.0747975
48000,8,bow,0.35,1,0.0800673
48000,8,bow,0.35,0.1,0.0720132
