parameter,peak_db,max_step_ratio
arc.network.excite.v1,-8.50401,0.747336
arc.network.coupling.v1,-8.70128,0.748707
arc.network.tension.v1,-9.27974,1.2541
arc.network.chaos.v1,-9.00974,0.703744
arc.network.topology.v1,-9.28687,0.759948
arc.network.quantize.v1,-8.71428,0.831347
arc.exciter.type.v1,-8.62283,0.790877
arc.exciter.strike.hardness.v1,-8.31368,0.721335
arc.exciter.strike.length.v1,-8.46202,0.86262
arc.exciter.strike.tone.v1,-8.0145,0.751916
arc.exciter.pluck.position.v1,-8.46398,0.773156
arc.exciter.pluck.damp.v1,-8.99834,0.743319
arc.exciter.pluck.tone.v1,-7.87693,0.795721
arc.exciter.bow.pressure.v1,-9.03234,0.798522
arc.exciter.bow.speed.v1,-9.3154,0.771295
arc.exciter.bow.friction.v1,-8.5958,0.927754
arc.exciter.air.flow.v1,-8.79902,0.983301
arc.exciter.air.turbulence.v1,-8.78035,0.725854
arc.exciter.air.tone.v1,-8.52218,0.783336
arc.material.type.v1,-8.33681,0.801133
arc.material.mass.v1,-7.74318,0.844382
arc.material.brightness.v1,-8.65609,2.96256
arc.material.loss.v1,-8.79808,0.740169
arc.material.inharmonicity.v1,-7.96634,1.44978
arc.nodeA.radius.v1,-7.932,0.808285
arc.nodeA.angle.v1,-8.26045,0.902761
arc.nodeA.decay.v1,-8.53541,0.799998
arc.nodeA.damp.v1,-7.97022,0.691771
arc.nodeA.level.v1,-8.24292,0.651542
arc.nodeA.link.v1,-7.78928,0.660546
arc.nodeB.radius.v1,-8.18331,0.855214
arc.nodeB.angle.v1,-8.81699,0.733568
arc.nodeB.decay.v1,-7.85976,0.691426
arc.nodeB.damp.v1,-8.04405,0.891889
arc.nodeB.level.v1,-8.52853,0.858943
arc.nodeB.link.v1,-8.69156,0.925294
arc.nodeC.radius.v1,-8.90143,0.81116
arc.nodeC.angle.v1,-9.08862,0.797237
arc.nodeC.decay.v1,-8.70845,0.713091
arc.nodeC.damp.v1,-8.69373,0.962732
arc.nodeC.level.v1,-8.52766,0.741237
arc.nodeC.link.v1,-8.36432,0.875417
arc.nodeD.radius.v1,-8.42985,1.02566
arc.nodeD.angle.v1,-8.3336,0.901892
arc.nodeD.decay.v1,-8.89314,0.767619
arc.nodeD.damp.v1,-7.99866,0.785789
arc.nodeD.level.v1,-7.91462,0.766305
arc.nodeD.link.v1,-7.58563,0.715014
arc.sync.v1,-8.09964,0.784609
arc.motion.depth.v1,-7.79096,0.824118
arc.motion.rate.v1,-8.55898,0.757824
arc.motion.division.v1,-7.36353,0.831317
arc.motion.play.v1,-7.87418,0.757546
arc.voice.polyphony.v1,-8.03204,0.707158
arc.voice.mode.v1,-8.4265,0.906714
arc.voice.bendrange.v1,-7.5905,0.746759
arc.voice.release.v1,-8.34207,0.700713
arc.voice.glide.v1,-8.69087,0.830325
arc.voice.mpe.v1,-7.96738,0.728843
arc.quality.v1,-8.37734,0.67266
arc.master.output.v1,-3.31178,1.31052
arc.fx.width.v1,-7.98319,0.787951
arc.fx.space.v1,-8.51111,0.803741
arc.fx.drive.v1,-7.51232,1.15613
