name,category,momentary_db,peak_db,tail_db,centroid_hz,dc
Obsidian Bloom,PADS,-21.0453,-11.7955,-48.4013,737.819,-63.0409
Soft Machine,PADS,-21.8114,-13.8597,-125.321,1502.33,-100.602
Aurora Lattice,PADS,-25.9022,-17.3019,-52.6472,5321.83,-60.9595
Quiet Orbit,PADS,-22.8799,-15.1314,-112.944,256.825,-68.4853
Satellite String,PLUCKED,-24.6574,-11.1272,-73.5321,1070.49,-68.0698
Crystal Thread,PLUCKED,-25.0733,-10.8975,-115.215,3655.89,-67.1259
Wire Garden,PLUCKED,-23.5583,-11.6834,-71.8605,948.614,-64.0296
Mercury String,PLUCKED,-27.9249,-16.696,-73.7801,1122.94,-64.9432
Black Bell,STRUCK,-22.4104,-10.2316,-47.8649,406.915,-93.3691
Zero Gravity Bell,STRUCK,-22.0958,-8.60582,-67.0204,1515.39,-83.827
Cold Plate,STRUCK,-19.2167,-5.19577,-56.0008,1779.92,-82.213
Temple Lattice,STRUCK,-21.1215,-7.22809,-58.0314,765.116,-90.3054
Frozen Wire,BOWED,-18.6757,-9.78225,-59.9453,1178.21,-56.8019
Tension Bloom,BOWED,-21.3478,-13.2271,-172.235,584.196,-79.7385
Rosin Glass,BOWED,-21.3185,-13.4496,-70.4312,473.129,-67.6883
Bowed Timber,BOWED,-19.4301,-11.632,-173.024,522.167,-74.0931
Glass Choir,AIR,-20.731,-12.7463,-52.1614,3335.81,-64.991
Resonant Fog,AIR,-22.9018,-14.5188,-107.899,1200.46,-59.9068
Bottle Organ,AIR,-19.4317,-11.6242,-179.301,1514.74,-62.8514
Reed Array,AIR,-19.1969,-11.3715,-45.9757,3218.5,-58.8504
Glass Engine,GLASS,-23.4058,-10.8577,-87.5516,1708.38,-64.8949
Prism Harp,GLASS,-25.4414,-10.9226,-99.5925,3163.49,-82.468
Ice Lattice,GLASS,-24.0983,-9.92586,-66.361,2326.19,-64.2478
Slow Alloy,METAL,-22.578,-13.5942,-60.5457,869.846,-70.6272
Copper Rain,METAL,-25.8803,-11.1332,-76.5497,1651.22,-76.4888
Iron Flower,METAL,-23.1537,-9.98087,-49.4903,2201.3,-76.1132
Gamelan Engine,METAL,-21.0729,-7.5614,-59.0906,1378.04,-72.0738
Magnetic Wood,WOOD,-23.1681,-9.76773,-212.012,493.7,-63.7543
Hollow Marimba,WOOD,-21.956,-7.25769,-236.319,330.197,-62.1928
Timber Code,WOOD,-24.8805,-8.80529,-239.982,251.432,-53.6576
Rosewood Keys,WOOD,-21.4745,-7.44634,-230.242,246.469,-48.7227
Membrane Sky,MEMBRANE,-20.4179,-7.85504,-205.183,238.983,-58.4119
Deep Frame,MEMBRANE,-21.5794,-7.01503,-238.425,211.243,-64.0543
Ghost Membrane,MEMBRANE,-22.5192,-14.1783,-138.625,1436.74,-72.7996
Talking Skin,MEMBRANE,-22.5197,-8.38293,-239.605,227.597,-75.1374
Infinite Bow,DRONES,-20.578,-12.0419,-50.3189,850.662,-76.1469
Black Monolith,DRONES,-21.5304,-13.305,-47.2412,695.591,-73.5716
Cathedral Air,DRONES,-23.8743,-14.5743,-31.2221,4180.99,-58.8663
Ceramic Pulse,PERCUSSION,-25.71,-11.1319,-225.016,892.678,-67.0318
Tin Pulse,PERCUSSION,-24.326,-9.67549,-198.993,746.352,-56.7668
Log Network,PERCUSSION,-23.4331,-8.06796,-239.916,258.46,-50.8299
Kinetic Kit,PERCUSSION,-24.4644,-10.068,-239.973,618.718,-65.2606
Hollow Circuit,EXPERIMENTAL,-18.4494,-10.2293,-156.561,791.883,-72.2983
Broken Halo,EXPERIMENTAL,-25.0255,-10.583,-72.5267,1985.82,-74.911
Entropy Garden,EXPERIMENTAL,-26.0342,-12.391,-110.808,2485.95,-90.6665
Signal Swarm,EXPERIMENTAL,-21.2402,-12.4316,-50.3752,5135.27,-56.6118
