name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Obsidian Bloom,PADS,bow,metal,0.31,-21.0035,-12.0028,-19.9962,-51.3354,674.626,-0.0587285,-14.9548,5.30533,-0.096261,0
Soft Machine,PADS,air,wood,0.81,-21.0023,-13.0512,-20.9703,-122.028,1502.11,0,-30.7575,2.16495,0.427541,0
Aurora Lattice,PADS,air,glass,3.68,-20.9983,-13.2869,-21.8992,-48.6437,5011.38,0,-25.2668,2.04651,0.0937564,0
Quiet Orbit,PADS,bow,membrane,1.88,-20.9998,-13.2506,-20.7518,-110.366,256.829,-0.0658859,-28.9438,5.59301,0.531193,0
Silver Hour,PADS,bow,glass,0.89,-20.9989,-12.927,-20.7366,-55.7292,516.586,-0.025607,-28.2812,5.52706,-0.0386205,0
Velvet Engine,PADS,air,wood,0.64,-21.0022,-13.0118,-21.8605,-90.9655,1199.02,0,-30.9922,2.33242,0.408214,0
Polar Choir,PADS,air,glass,1.37,-21.0032,-12.5001,-26.4228,-42.8498,4835.44,0,-25.1259,2.20611,0.00620709,0
Nocturne Field,PADS,bow,membrane,2.6,-20.9976,-13.1868,-20.9551,-88.5408,234.049,-0.13631,-29.7878,5.37475,0.49052,0
Halo Drift,PADS,bow,metal,0.99,-21.0044,-12.1373,-19.7523,-49.7983,837.061,-0.195389,-22.2417,4.5077,-0.00410848,0
Lumen,PADS,air,glass,-1.07,-21.0042,-13.0015,-24.0409,-38.5178,4777.92,0,-29.392,2.80121,0.189348,0
Cloud Loom,PADS,bow,wood,1.39,-20.9963,-13.3043,-20.5127,-117.295,475.183,-0.116852,-30.7263,5.17035,-0.0112087,0
Slow Tide,PADS,air,membrane,0.95,-21.0022,-12.6935,-20.689,-72.1041,1231.84,0,-24.728,2.11019,3.35994,0
Amber Hall,PADS,bow,wood,0.71,-20.9993,-12.8389,-20.1611,-102.434,442.001,-0.0228442,-23.9675,4.742,-0.00880764,0
Opaline,PADS,air,glass,1.22,-21.0005,-12.3345,-22.0833,-37.0397,3168.64,0,-28.1413,2.56222,0.037239,0
Northern Lights,PADS,bow,glass,0.98,-20.9994,-11.9334,-19.5826,-60.1985,644.335,-0.0801278,-22.9567,5.63376,-0.0125584,0
Paper Moon,PADS,air,membrane,13.21,-20.9965,-9.68301,-8.93293,-90.775,2785.08,0,-11.914,1.83912,0.165923,0
