sampleRate,voices,exciter,coupling,chaos,motion,quality,realtimeFraction
44100,1,strike,0.35,0.1,0,normal,0.00775723
44100,4,strike,0.35,0.1,0,normal,0.0356503
44100,8,strike,0.35,0.1,0,normal,0.0476522
44100,16,strike,0.35,0.1,0,normal,0.0944323
44100,1,bow,0.35,0.1,0,normal,0.00789392
44100,4,bow,0.35,0.1,0,normal,0.0276729
44100,8,bow,0.35,0.1,0,normal,0.0617874
44100,16,bow,0.35,0.1,0,normal,0.107669
48000,1,strike,0.35,0.1,0,normal,0.00805489
48000,4,strike,0.35,0.1,0,normal,0.0283905
48000,8,strike,0.35,0.1,0,normal,0.0543228
48000,16,strike,0.35,0.1,0,normal,0.106261
48000,1,bow,0.35,0.1,0,normal,0.00927358
48000,4,bow,0.35,0.1,0,normal,0.0316953
48000,8,bow,0.35,0.1,0,normal,0.0618638
48000,16,bow,0.35,0.1,0,normal,0.123017
96000,1,strike,0.35,0.1,0,normal,0.0124982
96000,4,strike,0.35,0.1,0,normal,0.040985
96000,8,strike,0.35,0.1,0,normal,0.0803969
96000,16,strike,0.35,0.1,0,normal,0.164815
96000,1,bow,0.35,0.1,0,normal,0.0127519
96000,4,bow,0.35,0.1,0,normal,0.0473352
96000,8,bow,0.35,0.1,0,normal,0.086093
96000,16,bow,0.35,0.1,0,normal,0.199824
48000,8,strike,0,0,0,normal,0.0479797
48000,8,strike,1,0,0,normal,0.0485175
48000,8,strike,0.35,1,0,normal,0.0594225
48000,8,strike,0.35,0.1,1,normal,0.0628938
48000,16,strike,0,0,0,normal,0.0900137
48000,16,strike,1,0,0,normal,0.0981034
48000,16,strike,0.35,1,0,normal,0.121714
48000,16,strike,0.35,0.1,1,normal,0.122148
48000,8,bow,0,0,0,normal,0.0487811
48000,8,bow,1,0,0,normal,0.0567071
48000,8,bow,0.35,1,0,normal,0.0631835
48000,8,bow,0.35,0.1,1,normal,0.0647566
48000,16,bow,0,0,0,normal,0.106934
48000,16,bow,1,0,0,normal,0.112083
48000,16,bow,0.35,1,0,normal,0.126377
48000,16,bow,0.35,0.1,1,normal,0.116641
48000,16,bow,0.35,0.1,0,Eco,0.0830362
48000,16,bow,0.35,0.1,0,Normal,0.117806
48000,16,bow,0.35,0.1,0,High,0.186736
