test,key,value
exciters/air and bow hold a steady level,air.glass.tremoloDepthDb,-47.3284
exciters/air and bow hold a steady level,air.glass.tremoloRateHz,3.90027
exciters/air and bow hold a steady level,air.metal.tremoloDepthDb,-48.4382
exciters/air and bow hold a steady level,air.metal.tremoloRateHz,5.46287
exciters/air and bow hold a steady level,air.wood.tremoloDepthDb,-38.568
exciters/air and bow hold a steady level,air.wood.tremoloRateHz,5.4854
exciters/air and bow hold a steady level,air.membrane.tremoloDepthDb,-38.0196
exciters/air and bow hold a steady level,air.membrane.tremoloRateHz,3.01299
exciters/air and bow hold a steady level,bow.glass.tremoloDepthDb,-57.7227
exciters/air and bow hold a steady level,bow.glass.tremoloRateHz,7.32496
exciters/air and bow hold a steady level,bow.metal.tremoloDepthDb,-58.522
exciters/air and bow hold a steady level,bow.metal.tremoloRateHz,4.64453
exciters/air and bow hold a steady level,bow.wood.tremoloDepthDb,-56.5115
exciters/air and bow hold a steady level,bow.wood.tremoloRateHz,3.7654
exciters/air and bow hold a steady level,bow.membrane.tremoloDepthDb,-56.4813
exciters/air and bow hold a steady level,bow.membrane.tremoloRateHz,4.59115
exciters/strike is a transient impact,glass.earlyMinusLateDb,19.288
exciters/strike is a transient impact,metal.earlyMinusLateDb,12.3295
exciters/strike is a transient impact,wood.earlyMinusLateDb,221.176
exciters/strike is a transient impact,membrane.earlyMinusLateDb,221.335
exciters/strike is a transient impact,centroid.soft,845.522
exciters/strike is a transient impact,centroid.hard,2191.21
exciters/strike is a transient impact,centroid.longContact,1552.34
exciters/strike is a transient impact,centroid.shortContact,2785.46
exciters/strike is a transient impact,rms.velocity0.3,0.0228265
exciters/strike is a transient impact,rms.velocity1.0,0.100648
exciters/strike is a transient impact,centroid.velocity0.3,1127.43
exciters/strike is a transient impact,centroid.velocity1.0,1835.13
exciters/pluck position comb,pos0.25.h3dB,37.5074
exciters/pluck position comb,pos0.25.h4dB,-2.11257
exciters/pluck position comb,pos0.25.h5dB,33.1267
exciters/pluck position comb,pos0.25.h7dB,25.7855
exciters/pluck position comb,pos0.25.h8dB,-5.0447
exciters/pluck position comb,pos0.25.h9dB,20.9464
exciters/pluck position comb,pos0.5.h1dB,46.8497
exciters/pluck position comb,pos0.5.h2dB,4.65256
exciters/pluck position comb,pos0.5.h3dB,40.5142
exciters/pluck position comb,pos0.5.h4dB,-0.3699
exciters/pluck position comb,centroid.tone0.1,482.887
exciters/pluck position comb,centroid.tone0.95,1917.13
exciters/bow is sustained friction not noise,glass.levelDriftDb,0.00559585
exciters/bow is sustained friction not noise,glass.hnrDb,49.5491
exciters/bow is sustained friction not noise,glass.flatness,1.65054e-06
exciters/bow is sustained friction not noise,glass.pitchCents,0.000738101
exciters/bow is sustained friction not noise,glass.releaseDropDb,63.1611
exciters/bow is sustained friction not noise,metal.levelDriftDb,0.00308372
exciters/bow is sustained friction not noise,metal.hnrDb,46.7032
exciters/bow is sustained friction not noise,metal.flatness,7.19469e-06
exciters/bow is sustained friction not noise,metal.pitchCents,0.00115799
exciters/bow is sustained friction not noise,metal.releaseDropDb,58.8912
exciters/bow is sustained friction not noise,wood.levelDriftDb,0.00704575
exciters/bow is sustained friction not noise,wood.hnrDb,49.9854
exciters/bow is sustained friction not noise,wood.flatness,2.59725e-06
exciters/bow is sustained friction not noise,wood.pitchCents,0.00169766
exciters/bow is sustained friction not noise,wood.releaseDropDb,219.042
exciters/bow is sustained friction not noise,membrane.levelDriftDb,-0.00406886
exciters/bow is sustained friction not noise,membrane.hnrDb,52.342
exciters/bow is sustained friction not noise,membrane.flatness,7.10448e-07
exciters/bow is sustained friction not noise,membrane.pitchCents,0.000628989
exciters/bow is sustained friction not noise,membrane.releaseDropDb,219.278
exciters/bow is sustained friction not noise,wood.centroid.pressure0.1,557.649
exciters/bow is sustained friction not noise,wood.centroid.pressure0.9,704.989
exciters/air is continuous turbulent excitation,glass.flatness.breathy,0.00273445
exciters/air is continuous turbulent excitation,glass.flatness.tonal,1.69476e-06
exciters/air is continuous turbulent excitation,glass.releaseDropDb,21.8854
exciters/air is continuous turbulent excitation,metal.flatness.breathy,0.00885056
exciters/air is continuous turbulent excitation,metal.flatness.tonal,3.77039e-06
exciters/air is continuous turbulent excitation,metal.releaseDropDb,16.3873
exciters/air is continuous turbulent excitation,wood.flatness.breathy,0.0227707
exciters/air is continuous turbulent excitation,wood.flatness.tonal,1.32002e-05
exciters/air is continuous turbulent excitation,wood.releaseDropDb,103.981
exciters/air is continuous turbulent excitation,membrane.flatness.breathy,0.00675437
exciters/air is continuous turbulent excitation,membrane.flatness.tonal,3.3272e-06
exciters/air is continuous turbulent excitation,membrane.releaseDropDb,97.6426
exciters/velocity and EXCITE act per exciter,strike.velocity0.2.rmsDb,-37.7019
exciters/velocity and EXCITE act per exciter,strike.velocity0.5.rmsDb,-27.764
exciters/velocity and EXCITE act per exciter,strike.velocity0.8.rmsDb,-22.7326
exciters/velocity and EXCITE act per exciter,strike.velocity1.0.rmsDb,-20.4969
exciters/velocity and EXCITE act per exciter,strike.excite.levelGainDb,10.1484
exciters/velocity and EXCITE act per exciter,strike.excite.centroidRatio,1.68016
exciters/velocity and EXCITE act per exciter,pluck.velocity0.2.rmsDb,-36.8454
exciters/velocity and EXCITE act per exciter,pluck.velocity0.5.rmsDb,-27.5693
exciters/velocity and EXCITE act per exciter,pluck.velocity0.8.rmsDb,-22.8282
exciters/velocity and EXCITE act per exciter,pluck.velocity1.0.rmsDb,-20.6088
exciters/velocity and EXCITE act per exciter,pluck.excite.levelGainDb,11.6417
